date,value,GPD_per_capita,eu_prod_index
2/29/12,786454.8101,50070.1416,98.4
3/1/12,785171.7749,50070.1416,98.3
3/2/12,884534.742,50070.1416,98.3
3/3/12,1023263.55,50070.1416,98.3
3/4/12,954155.2595,50070.1416,98.3
3/5/12,778398.6798,50070.1416,98.3
3/6/12,744938.9109,50070.1416,98.3
3/7/12,780979.612,50070.1416,98.3
3/8/12,762577.6971,50070.1416,98.3
3/9/12,868816.3782,50070.1416,98.3
3/10/12,996756.8537,50070.1416,98.3
3/11/12,1001757.984,50070.1416,98.3
3/12/12,755221.5222,50070.1416,98.3
3/13/12,814617.2747,50070.1416,98.3
3/14/12,763195.9176,50070.1416,98.3
3/15/12,783534.1698,50070.1416,98.3
3/16/12,899558.7464,50070.1416,98.3
3/17/12,939942.0757,50070.1416,98.3
3/18/12,968145.8959,50070.1416,98.3
3/19/12,758173.6078,50070.1416,98.3
3/20/12,771190.4244,50070.1416,98.3
3/21/12,739621.0416,50070.1416,98.3
3/22/12,747949.5604,50070.1416,98.3
3/23/12,860500.1551,50070.1416,98.3
3/24/12,1000596.147,50070.1416,98.3
3/25/12,947939.7113,50070.1416,98.3
3/26/12,772707.7354,50070.1416,98.3
3/27/12,725182.8589,50070.1416,98.3
3/28/12,736652.3385,50070.1416,98.3
3/29/12,743961.9547,50070.1416,98.3
3/30/12,878706.4456,50070.1416,98.3
3/31/12,1017495.964,50070.1416,98.3
4/1/12,949185.6623,50070.1416,97.5
4/2/12,788223.0776,50070.1416,97.5
4/3/12,753542.5314,50070.1416,97.5
4/4/12,744792.2367,50070.1416,97.5
4/5/12,775315.725,50070.1416,97.5
4/6/12,911212.4211,50070.1416,97.5
4/7/12,1033791.827,50070.1416,97.5
4/8/12,1056055.3,50070.1416,97.5
4/9/12,915432.3535,50070.1416,97.5
4/10/12,990681.4383,50070.1416,97.5
4/11/12,1096325.251,50070.1416,97.5
4/12/12,1090353.159,50070.1416,97.5
4/13/12,1280768.578,50070.1416,97.5
4/14/12,1328333.365,50070.1416,97.5
4/15/12,1267081.637,50070.1416,97.5
4/16/12,863809.4965,50070.1416,97.5
4/17/12,777249.1601,50070.1416,97.5
4/18/12,767154.7816,50070.1416,97.5
4/19/12,724158.7021,50070.1416,97.5
4/20/12,883663.7512,50070.1416,97.5
4/21/12,959612.215,50070.1416,97.5
4/22/12,931923.7756,50070.1416,97.5
4/23/12,733164.5871,50070.1416,97.5
4/24/12,762909.126,50070.1416,97.5
4/25/12,740217.9544,50070.1416,97.5
4/26/12,748434.0653,50070.1416,97.5
4/27/12,858211.4428,50070.1416,97.5
4/28/12,995906.6837,50070.1416,97.5
4/29/12,940049.7541,50070.1416,97.5
4/30/12,762950.9393,50070.1416,97.5
5/1/12,731145.357,50070.1416,98.2
5/2/12,775819.3235,50070.1416,98.2
5/3/12,870326.8363,50070.1416,98.2
5/4/12,1074615.738,50070.1416,98.2
5/5/12,1170939.037,50070.1416,98.2
5/6/12,1107555.57,50070.1416,98.2
5/7/12,850843.1541,50070.1416,98.2
5/8/12,856256.258,50070.1416,98.2
5/9/12,857326.4712,50070.1416,98.2
5/10/12,863489.6077,50070.1416,98.2
5/11/12,940800.3217,50070.1416,98.2
5/12/12,1084221.448,50070.1416,98.2
5/13/12,964858.8584,50070.1416,98.2
5/14/12,763587.957,50070.1416,98.2
5/15/12,710242.0966,50070.1416,98.2
5/16/12,722160.2681,50070.1416,98.2
5/17/12,670499.5507,50070.1416,98.2
5/18/12,880109.5602,50070.1416,98.2
5/19/12,1007211.523,50070.1416,98.2
5/20/12,1050271.369,50070.1416,98.2
5/21/12,862756.8079,50070.1416,98.2
5/22/12,864626.0538,50070.1416,98.2
5/23/12,792056.0426,50070.1416,98.2
5/24/12,789983.2881,50070.1416,98.2
5/25/12,879938.0703,50070.1416,98.2
5/26/12,905776.0978,50070.1416,98.2
5/27/12,917468.0909,50070.1416,98.2
5/28/12,759645.7307,50070.1416,98.2
5/29/12,793432.7593,50070.1416,98.2
5/30/12,811000.0259,50070.1416,98.2
5/31/12,922720.2552,50070.1416,98.2
6/1/12,1075623.896,50070.1416,97.4
6/2/12,1291655.579,50070.1416,97.4
6/3/12,1163757.564,50070.1416,97.4
6/4/12,793672.7383,50070.1416,97.4
6/5/12,735142.1301,50070.1416,97.4
6/6/12,700709.1384,50070.1416,97.4
6/7/12,674049.1677,50070.1416,97.4
6/8/12,781008.53,50070.1416,97.4
6/9/12,841692.1324,50070.1416,97.4
6/10/12,964364.2303,50070.1416,97.4
6/11/12,694933.7741,50070.1416,97.4
6/12/12,648247.0202,50070.1416,97.4
6/13/12,670691.0526,50070.1416,97.4
6/14/12,710465.9911,50070.1416,97.4
6/15/12,804772.6399,50070.1416,97.4
6/16/12,859857.9321,50070.1416,97.4
6/17/12,880325.9504,50070.1416,97.4
6/18/12,653864.0458,50070.1416,97.4
6/19/12,701624.2781,50070.1416,97.4
6/20/12,717574.8835,50070.1416,97.4
6/21/12,713807.8441,50070.1416,97.4
